UNIX time;ISO time;temperature1;temperature2
1657754413;2022-07-13T16:20:13.000Z;84.754;83.856
1657754413.25;2022-07-13T16:20:13.250Z;84.641;83.912
1657754413.5;2022-07-13T16:20:13.500Z;84.636;83.851
1657754413.75;2022-07-13T16:20:13.750Z;84.508;83.867
1657754414;2022-07-13T16:20:14.000Z;84.513;83.811
1657754414.25;2022-07-13T16:20:14.250Z;84.434;83.871
1657754414.5;2022-07-13T16:20:14.500Z;84.448;83.941
1657754414.75;2022-07-13T16:20:14.750Z;84.479;83.925
1657754415;2022-07-13T16:20:15.000Z;84.394;83.977
1657754415.25;2022-07-13T16:20:15.250Z;84.211;83.95
1657754415.5;2022-07-13T16:20:15.500Z;84.178;83.885
1657754415.75;2022-07-13T16:20:15.750Z;84.227;83.874
1657754416;2022-07-13T16:20:16.000Z;84.171;83.991
1657754416.25;2022-07-13T16:20:16.250Z;84.288;84.02
1657754416.5;2022-07-13T16:20:16.500Z;84.144;84.02
1657754416.75;2022-07-13T16:20:16.750Z;84.011;83.957
1657754417;2022-07-13T16:20:17.000Z;84.052;83.912
1657754417.25;2022-07-13T16:20:17.250Z;83.98;83.917
1657754417.5;2022-07-13T16:20:17.500Z;84.097;83.932
1657754417.75;2022-07-13T16:20:17.750Z;84.058;84.065
1657754418;2022-07-13T16:20:18.000Z;84.042;84.036
1657754418.25;2022-07-13T16:20:18.250Z;84.103;84.11
1657754418.5;2022-07-13T16:20:18.500Z;84.07;84.096
1657754418.75;2022-07-13T16:20:18.750Z;83.901;83.829
1657754419;2022-07-13T16:20:19.000Z;83.89;83.901
1657754419.25;2022-07-13T16:20:19.250Z;83.885;83.943
1657754419.5;2022-07-13T16:20:19.500Z;83.896;83.948
1657754419.75;2022-07-13T16:20:19.750Z;83.982;84.047
1657754420;2022-07-13T16:20:20.000Z;83.916;83.89
1657754420.25;2022-07-13T16:20:20.250Z;84.025;84.031
1657754420.5;2022-07-13T16:20:20.500Z;83.901;83.998
1657754420.75;2022-07-13T16:20:20.750Z;83.811;84.002
1657754421;2022-07-13T16:20:21.000Z;83.921;83.997
1657754421.25;2022-07-13T16:20:21.250Z;83.926;83.97
1657754421.5;2022-07-13T16:20:21.500Z;83.935;83.952
1657754421.75;2022-07-13T16:20:21.750Z;84.007;83.943
1657754422;2022-07-13T16:20:22.000Z;84.011;83.98
1657754422.25;2022-07-13T16:20:22.250Z;83.973;83.907
1657754422.5;2022-07-13T16:20:22.500Z;83.856;83.872
1657754422.75;2022-07-13T16:20:22.750Z;83.98;83.883
1657754423;2022-07-13T16:20:23.000Z;83.946;83.89
1657754423.25;2022-07-13T16:20:23.250Z;83.982;83.935
1657754423.5;2022-07-13T16:20:23.500Z;83.991;83.962
1657754423.75;2022-07-13T16:20:23.750Z;84.058;83.899
