UNIX time;ISO time;temperature1;temperature2
1653520727;2022-05-25T16:18:47.000Z;75.519;79.734
1653520727.5;2022-05-25T16:18:47.500Z;75.594;79.709
1653520728;2022-05-25T16:18:48.000Z;75.636;79.795
1653520728.5;2022-05-25T16:18:48.500Z;75.576;79.743
1653520729;2022-05-25T16:18:49.000Z;75.727;79.846
1653520729.5;2022-05-25T16:18:49.500Z;75.675;79.59
1653520730;2022-05-25T16:18:50.000Z;75.63;79.702
1653520730.5;2022-05-25T16:18:50.500Z;75.65;79.696
1653520731;2022-05-25T16:18:51.000Z;75.519;79.705
1653520731.5;2022-05-25T16:18:51.500Z;75.486;79.831
1653520732;2022-05-25T16:18:52.000Z;75.42;79.635
1653520732.5;2022-05-25T16:18:52.500Z;75.355;79.641
1653520733;2022-05-25T16:18:53.000Z;75.436;79.759
1653520733.5;2022-05-25T16:18:53.500Z;75.502;79.799
1653520734;2022-05-25T16:18:54.000Z;75.43;79.651
1653520734.5;2022-05-25T16:18:54.500Z;75.326;79.747
1653520735;2022-05-25T16:18:55.000Z;75.376;79.842
1653520735.5;2022-05-25T16:18:55.500Z;75.457;79.808
1653520736;2022-05-25T16:18:56.000Z;75.393;79.714
1653520736.5;2022-05-25T16:18:56.500Z;75.326;79.693
1653520737;2022-05-25T16:18:57.000Z;75.312;79.606
1653520737.5;2022-05-25T16:18:57.500Z;75.191;79.655
1653520738;2022-05-25T16:18:58.000Z;75.281;79.725
1653520738.5;2022-05-25T16:18:58.500Z;75.25;79.702
1653520739;2022-05-25T16:18:59.000Z;75.366;79.657
1653520739.5;2022-05-25T16:18:59.500Z;75.232;79.709
1653520740;2022-05-25T16:19:00.000Z;75.321;79.677
1653520740.5;2022-05-25T16:19:00.500Z;75.315;79.675
1653520741;2022-05-25T16:19:01.000Z;75.151;79.617
1653520741.5;2022-05-25T16:19:01.500Z;75.373;79.648
1653520742;2022-05-25T16:19:02.000Z;75.259;79.646
1653520742.5;2022-05-25T16:19:02.500Z;75.319;79.693
1653520743;2022-05-25T16:19:03.000Z;75.384;79.743
1653520743.5;2022-05-25T16:19:03.500Z;75.319;79.749
1653520744;2022-05-25T16:19:04.000Z;75.479;79.644
