UNIX time;ISO time;temperature1;temperature2
1654469065;2022-06-05T15:44:25.000Z;87.755;79.423
1654469065.5;2022-06-05T15:44:25.500Z;87.759;79.484
1654469066;2022-06-05T15:44:26.000Z;87.663;79.495
1654469066.5;2022-06-05T15:44:26.500Z;87.841;79.666
1654469067;2022-06-05T15:44:27.000Z;88.005;79.545
1654469067.5;2022-06-05T15:44:27.500Z;88.066;79.518
1654469068;2022-06-05T15:44:28.000Z;88.25;79.482
1654469068.5;2022-06-05T15:44:28.500Z;88.529;79.603
1654469069;2022-06-05T15:44:29.000Z;88.414;79.47
1654469069.5;2022-06-05T15:44:29.500Z;88.648;79.536
1654469070;2022-06-05T15:44:30.000Z;88.727;79.533
1654469070.5;2022-06-05T15:44:30.500Z;88.768;79.574
1654469071;2022-06-05T15:44:31.000Z;88.704;79.45
1654469071.5;2022-06-05T15:44:31.500Z;88.497;79.457
1654469072;2022-06-05T15:44:32.000Z;88.671;79.547
1654469072.5;2022-06-05T15:44:32.500Z;88.581;79.574
1654469073;2022-06-05T15:44:33.000Z;88.725;79.608
1654469073.5;2022-06-05T15:44:33.500Z;88.677;79.5
1654469074;2022-06-05T15:44:34.000Z;88.826;79.542
1654469074.5;2022-06-05T15:44:34.500Z;89.006;79.549
1654469075;2022-06-05T15:44:35.000Z;89.233;79.624
1654469075.5;2022-06-05T15:44:35.500Z;89.431;79.563
1654469076;2022-06-05T15:44:36.000Z;89.46;79.552
1654469076.5;2022-06-05T15:44:36.500Z;89.611;79.603
1654469077;2022-06-05T15:44:37.000Z;89.562;79.642
1654469077.5;2022-06-05T15:44:37.500Z;89.672;79.639
1654469078;2022-06-05T15:44:38.000Z;89.701;79.592
1654469078.5;2022-06-05T15:44:38.500Z;89.677;79.569
1654469079;2022-06-05T15:44:39.000Z;89.712;79.534
1654469079.5;2022-06-05T15:44:39.500Z;89.8;79.473
1654469080;2022-06-05T15:44:40.000Z;89.85;79.522
1654469080.5;2022-06-05T15:44:40.500Z;89.803;79.529
1654469081;2022-06-05T15:44:41.000Z;89.874;79.689
1654469081.5;2022-06-05T15:44:41.500Z;89.971;79.704
1654469082;2022-06-05T15:44:42.000Z;90.025;79.624
1654469082.5;2022-06-05T15:44:42.500Z;89.94;79.659
1654469083;2022-06-05T15:44:43.000Z;89.874;79.57
1654469083.5;2022-06-05T15:44:43.500Z;89.803;79.738
1654469084;2022-06-05T15:44:44.000Z;89.784;79.662
1654469084.5;2022-06-05T15:44:44.500Z;89.652;79.569
1654469085;2022-06-05T15:44:45.000Z;89.672;79.695
1654469085.5;2022-06-05T15:44:45.500Z;89.515;79.612
1654469086;2022-06-05T15:44:46.000Z;89.573;79.547
1654469086.5;2022-06-05T15:44:46.500Z;89.611;79.579
1654469087;2022-06-05T15:44:47.000Z;89.613;79.614
1654469087.5;2022-06-05T15:44:47.500Z;89.677;79.653
1654469088;2022-06-05T15:44:48.000Z;89.793;79.587
1654469088.5;2022-06-05T15:44:48.500Z;89.757;79.639
1654469089;2022-06-05T15:44:49.000Z;89.647;79.637
1654469089.5;2022-06-05T15:44:49.500Z;89.443;79.504
1654469090;2022-06-05T15:44:50.000Z;89.497;79.693
1654469090.5;2022-06-05T15:44:50.500Z;89.499;79.644
1654469091;2022-06-05T15:44:51.000Z;89.461;79.552
1654469091.5;2022-06-05T15:44:51.500Z;89.587;79.554
1654469092;2022-06-05T15:44:52.000Z;89.739;79.669
1654469092.5;2022-06-05T15:44:52.500Z;89.697;79.632
1654469093;2022-06-05T15:44:53.000Z;89.701;79.531
1654469093.5;2022-06-05T15:44:53.500Z;89.773;79.569
1654469094;2022-06-05T15:44:54.000Z;89.874;79.61
1654469094.5;2022-06-05T15:44:54.500Z;90;79.642
1654469095;2022-06-05T15:44:55.000Z;89.807;79.723
1654469095.5;2022-06-05T15:44:55.500Z;89.838;79.794
1654469096;2022-06-05T15:44:56.000Z;89.879;79.633
1654469096.5;2022-06-05T15:44:56.500Z;89.798;79.597
1654469097;2022-06-05T15:44:57.000Z;89.762;79.594
1654469097.5;2022-06-05T15:44:57.500Z;89.596;79.608
1654469098;2022-06-05T15:44:58.000Z;89.638;79.644
1654469098.5;2022-06-05T15:44:58.500Z;89.812;79.738
1654469099;2022-06-05T15:44:59.000Z;89.897;79.732
1654469099.5;2022-06-05T15:44:59.500Z;89.789;79.648
1654469100;2022-06-05T15:45:00.000Z;89.805;79.767
1654469100.5;2022-06-05T15:45:00.500Z;89.744;79.686
1654469101;2022-06-05T15:45:01.000Z;89.758;79.603
1654469101.5;2022-06-05T15:45:01.500Z;89.784;79.713
1654469102;2022-06-05T15:45:02.000Z;89.596;79.709
1654469102.5;2022-06-05T15:45:02.500Z;89.555;79.704
1654469103;2022-06-05T15:45:03.000Z;89.541;79.783
1654469103.5;2022-06-05T15:45:03.500Z;89.431;79.79
1654469104;2022-06-05T15:45:04.000Z;89.02;79.664
1654469104.5;2022-06-05T15:45:04.500Z;88.873;79.727
1654469105;2022-06-05T15:45:05.000Z;88.68;79.691
1654469105.5;2022-06-05T15:45:05.500Z;88.93;79.873
1654469106;2022-06-05T15:45:06.000Z;88.822;79.774
1654469106.5;2022-06-05T15:45:06.500Z;88.639;79.907
1654469107;2022-06-05T15:45:07.000Z;88.284;79.893
1654469107.5;2022-06-05T15:45:07.500Z;87.944;79.722
1654469108;2022-06-05T15:45:08.000Z;88.048;79.903
1654469108.5;2022-06-05T15:45:08.500Z;87.789;79.783
1654469109;2022-06-05T15:45:09.000Z;87.931;79.842
1654469109.5;2022-06-05T15:45:09.500Z;88.065;79.833
1654469110;2022-06-05T15:45:10.000Z;88.072;79.858
1654469110.5;2022-06-05T15:45:10.500Z;87.978;79.839
1654469111;2022-06-05T15:45:11.000Z;87.998;79.912
1654469111.5;2022-06-05T15:45:11.500Z;87.814;79.853
1654469112;2022-06-05T15:45:12.000Z;87.858;79.867
1654469112.5;2022-06-05T15:45:12.500Z;87.976;79.873
1654469113;2022-06-05T15:45:13.000Z;88.079;79.849
1654469113.5;2022-06-05T15:45:13.500Z;88.056;79.939
1654469114;2022-06-05T15:45:14.000Z;88.214;80.019
1654469114.5;2022-06-05T15:45:14.500Z;88.133;80.008
1654469115;2022-06-05T15:45:15.000Z;87.984;79.984
1654469115.5;2022-06-05T15:45:15.500Z;88.088;80.056
1654469116;2022-06-05T15:45:16.000Z;88.054;80.024
1654469116.5;2022-06-05T15:45:16.500Z;88.099;79.979
1654469117;2022-06-05T15:45:17.000Z;88.169;80.013
1654469117.5;2022-06-05T15:45:17.500Z;88.29;80.139
1654469118;2022-06-05T15:45:18.000Z;88.407;80.065
1654469118.5;2022-06-05T15:45:18.500Z;88.396;80.143
1654469119;2022-06-05T15:45:19.000Z;88.25;80.001
1654469119.5;2022-06-05T15:45:19.500Z;88.3;80.103
1654469120;2022-06-05T15:45:20.000Z;88.547;80.06
1654469120.5;2022-06-05T15:45:20.500Z;88.533;80.092
1654469121;2022-06-05T15:45:21.000Z;88.777;80.1
1654469121.5;2022-06-05T15:45:21.500Z;88.698;80.092
1654469122;2022-06-05T15:45:22.000Z;88.621;79.977
1654469122.5;2022-06-05T15:45:22.500Z;88.385;79.884
1654469123;2022-06-05T15:45:23.000Z;88.072;79.889
1654469123.5;2022-06-05T15:45:23.500Z;87.993;79.984
1654469124;2022-06-05T15:45:24.000Z;87.568;79.844
1654469124.5;2022-06-05T15:45:24.500Z;87.053;79.806
1654469125;2022-06-05T15:45:25.000Z;86.878;79.698
1654469125.5;2022-06-05T15:45:25.500Z;86.626;79.75
1654469126;2022-06-05T15:45:26.000Z;86.436;79.677
1654469126.5;2022-06-05T15:45:26.500Z;86.274;79.779
1654469127;2022-06-05T15:45:27.000Z;86.243;79.767
1654469127.5;2022-06-05T15:45:27.500Z;86.095;79.799
1654469128;2022-06-05T15:45:28.000Z;86.203;79.524
1654469128.5;2022-06-05T15:45:28.500Z;86.38;79.588
1654469129;2022-06-05T15:45:29.000Z;86.491;79.653
1654469129.5;2022-06-05T15:45:29.500Z;86.682;79.554
1654469130;2022-06-05T15:45:30.000Z;86.693;79.434
1654469130.5;2022-06-05T15:45:30.500Z;86.695;79.38
1654469131;2022-06-05T15:45:31.000Z;86.882;79.547
1654469131.5;2022-06-05T15:45:31.500Z;86.851;79.464
1654469132;2022-06-05T15:45:32.000Z;87.105;79.356
1654469132.5;2022-06-05T15:45:32.500Z;87.024;79.425
1654469133;2022-06-05T15:45:33.000Z;86.801;79.279
1654469133.5;2022-06-05T15:45:33.500Z;86.322;79.203
1654469134;2022-06-05T15:45:34.000Z;86.329;79.349
1654469134.5;2022-06-05T15:45:34.500Z;86.13;79.198
1654469135;2022-06-05T15:45:35.000Z;86.364;79.138
1654469135.5;2022-06-05T15:45:35.500Z;86.679;79.272
1654469136;2022-06-05T15:45:36.000Z;86.891;79.327
1654469136.5;2022-06-05T15:45:36.500Z;87.1;79.272
1654469137;2022-06-05T15:45:37.000Z;87.085;79.189
1654469137.5;2022-06-05T15:45:37.500Z;87.345;79.209
1654469138;2022-06-05T15:45:38.000Z;87.674;79.268
1654469138.5;2022-06-05T15:45:38.500Z;87.741;79.317
1654469139;2022-06-05T15:45:39.000Z;87.589;79.223
1654469139.5;2022-06-05T15:45:39.500Z;87.8;79.266
1654469140;2022-06-05T15:45:40.000Z;87.881;79.288
1654469140.5;2022-06-05T15:45:40.500Z;87.917;79.277
1654469141;2022-06-05T15:45:41.000Z;87.841;79.178
1654469141.5;2022-06-05T15:45:41.500Z;87.634;79.167
1654469142;2022-06-05T15:45:42.000Z;87.719;79.266
1654469142.5;2022-06-05T15:45:42.500Z;87.546;79.225
1654469143;2022-06-05T15:45:43.000Z;87.408;79.216
1654469143.5;2022-06-05T15:45:43.500Z;87.3;79.248
1654469144;2022-06-05T15:45:44.000Z;87.161;79.248
1654469144.5;2022-06-05T15:45:44.500Z;87.12;79.257
1654469145;2022-06-05T15:45:45.000Z;86.9;79.203
1654469145.5;2022-06-05T15:45:45.500Z;86.409;79.218
1654469146;2022-06-05T15:45:46.000Z;85.912;79.158
1654469146.5;2022-06-05T15:45:46.500Z;85.647;79.288
1654469147;2022-06-05T15:45:47.000Z;85.874;79.192
1654469147.5;2022-06-05T15:45:47.500Z;85.876;79.263
1654469148;2022-06-05T15:45:48.000Z;86.083;79.317
